Participant,Condition,Epoch,Amplitude
0205-L8NWB,incongruent,36,0.009340583513756513
0205-L8NWB,incongruent,37,0.009518025269393578
0205-L8NWB,incongruent,38,0.009340149347578318
0205-L8NWB,incongruent,39,0.009339899605191349
0205-L8NWB,incongruent,40,0.009338648349123641
0205-L8NWB,incongruent,41,0.009336532042093598
0205-L8NWB,incongruent,42,0.006225573443588259
0205-L8NWB,incongruent,43,0.009698660987706718
0205-L8NWB,incongruent,44,0.009519508894951595
0205-L8NWB,incongruent,45,0.00952383027513783
0205-L8NWB,incongruent,46,0.009701301996566776
0205-L8NWB,incongruent,47,0.00934278937625714
0205-L8NWB,incongruent,48,0.00951808786175504
0205-L8NWB,incongruent,49,0.00952344901494078
0205-L8NWB,incongruent,50,0.009522571801031525
0205-L8NWB,incongruent,51,0.009517863471861718
0205-L8NWB,incongruent,52,0.009339271999577818
0205-L8NWB,incongruent,53,0.009696165457227407
0205-L8NWB,incongruent,54,0.009515157094139168
0205-L8NWB,incongruent,55,0.009523086095074053
0205-L8NWB,incongruent,56,0.009339106303372204
0205-L8NWB,incongruent,57,0.00933709018331781
0205-L8NWB,incongruent,58,0.009699374048918066
0205-L8NWB,incongruent,59,0.00933902676603422
0205-L8NWB,incongruent,60,0.009699330146532775
0205-L8NWB,incongruent,61,0.009341544141889731
0205-L8NWB,incongruent,62,0.009516775674207986
0205-L8NWB,incongruent,63,0.00951833945395614
0205-L8NWB,incongruent,64,0.006232971883205894
0205-L8NWB,incongruent,65,0.00933399170215849
0205-L8NWB,incongruent,66,0.009338714297384238
0205-L8NWB,incongruent,67,0.006226003723629275
0228-XZBNN,congruent,0,0.005745354340984093
0228-XZBNN,congruent,1,0.005928405023334083
0228-XZBNN,congruent,2,0.005746133677495201
0228-XZBNN,congruent,3,0.00592839735456225
0228-XZBNN,congruent,4,0.006107257807759762
0228-XZBNN,congruent,5,0.005750105771782518
0228-XZBNN,congruent,6,0.005924894862223096
0228-XZBNN,congruent,7,0.0061057091162971455
0228-XZBNN,congruent,8,0.00574880181549896
0228-XZBNN,congruent,9,0.005927574658331766
0228-XZBNN,congruent,10,0.006106065765958973
0228-XZBNN,congruent,11,0.0057482374260929905
0228-XZBNN,congruent,12,0.005930677036986811
0228-XZBNN,congruent,13,0.006108629973108483
0228-XZBNN,congruent,14,0.0057473096476856845
0228-XZBNN,congruent,15,0.0059277630572398595
0228-XZBNN,congruent,16,0.0040706014768175395
0228-XZBNN,congruent,17,0.005747609290742295
0228-XZBNN,congruent,18,0.00395167923065077
0228-XZBNN,congruent,19,0.006105228862225066
0228-XZBNN,congruent,20,0.005748782910634347
0228-XZBNN,congruent,21,0.005926556429352578
0228-XZBNN,congruent,22,0.004071531191565092
0228-XZBNN,congruent,23,0.005745307041573074
0228-XZBNN,congruent,24,0.005927792904386544
0228-XZBNN,congruent,25,0.0061049318075697065
0228-XZBNN,congruent,26,0.005749656573915236
0228-XZBNN,congruent,27,0.005925761983602036
0228-XZBNN,congruent,28,0.005746343320854484
0228-XZBNN,congruent,29,0.005925498817422849
0228-XZBNN,congruent,30,0.006105075683791264
0228-XZBNN,congruent,31,0.005747226437712552
0228-XZBNN,congruent,32,0.005927536423824098
0228-XZBNN,congruent,33,0.00610641992945918
0228-XZBNN,congruent,34,0.005747225015473583
0228-XZBNN,congruent,35,0.005927111435181734
0228-XZBNN,congruent,36,0.006104372521336523
0228-XZBNN,congruent,37,0.005747849705151947
0228-XZBNN,congruent,38,0.005925474649802664
0228-XZBNN,congruent,39,0.006105786643335678
0228-XZBNN,congruent,40,0.005748831449678312
0228-XZBNN,congruent,41,0.00592311652965901
0228-XZBNN,congruent,42,0.006106345868685926
0228-XZBNN,congruent,43,0.0038338937802019153
0228-XZBNN,congruent,44,0.005926692804301106
0228-XZBNN,congruent,45,0.0061066907735638325
0228-XZBNN,congruent,46,0.0057461690392443185
0228-XZBNN,congruent,47,0.005928999230228061
0228-XZBNN,congruent,48,0.006106392003191317
0228-XZBNN,congruent,49,0.0057468846490462844
0228-XZBNN,congruent,50,0.0059282464863922475
0228-XZBNN,congruent,51,0.006106308455874826
